"name","birthdate","species"
"Kerri","2012-03-06T16:11:11.067Z","cat"
"Phyllis","2000-04-09T10:10:11.880Z","bird"
"Kemp","2009-12-19T14:35:11.481Z","bird"
"Abbott","2017-05-30T15:00:12.251Z","dog"
"Earlene","2011-12-20T23:54:48.372Z","dog"
"Rosanne","2004-08-20T23:25:16.231Z","cat"
"Ingrid","2018-05-17T18:42:14.097Z","dog"
"Key","2014-10-03T22:54:39.919Z"," dog"
"Dianne","2012-07-17T12:24:43.830Z"," dog"
"Pat","2010-08-27T07:56:26.743Z","bird "
"Dawson","2006-03-31T10:20:48.341Z","bird"
"Harmon","2005-07-10T01:36:37.924Z","bird"
"Crawford","2019-11-09T22:47:36.366Z"," dog"
"Pansy","2000-11-08T08:10:19.708Z","cat"
"Townsend","2014-11-26T14:26:25.614Z","dog"
"Lilly","2010-04-04T01:13:02.130Z","dog"
"Ramona","2009-04-09T03:16:52.606Z","bird"
"Edwina","2014-11-11T08:22:28.493Z","dog"
"Rosanna","2002-08-28T02:28:29.229Z","cat"
"Louise","2000-10-15T05:28:03.717Z","dog"
"Atkins","2015-12-14T00:09:27.065Z","cat"
"Olga","2016-10-19T08:25:70.060Z","bird"
"Kris","2002-12-11T01:24:42.347Z","bird"
"English","2006-08-20T14:37:31.158Z","bird"
"Yvonne","2019-09-13T02:01:09.858Z","bird "
"Patrick","2015-10-14T17:25:51.014Z","bird "
"Jarvis","2019-09-01T14:58:28.139Z","bird"
"Harper","2003-03-22T10:59:49.207Z","bird "
"Lavonne","2005-11-30T05:10:11.976Z","cat"
"Nelson","2001-07-08T00:31:37.697Z","cat"
"Spears","2002-07-05T20:59:42.978Z","cat"
"Ila","2010-11-10T18:34:08.724Z"," dog"
"Stokes","2000-03-07T04:05:11.681Z","dog"
"Milagros","2016-12-20T20:01:34.548Z","bird "
"Francis","2003-10-25T22:06:08.944Z","bird"
"Sims","2019-07-19T03:57:50.886Z","bird"
"Ginger","2005-01-14T09:09:44.693Z","dog"
"Mccormick","2018-12-02T06:32:52.810Z","cat"
"Kelly","2007-02-01T09:38:40.347Z","cat"
"Brooke","2016-09-12T16:07:31.516Z","cat"
"Jacobs","2019-11-13T20:18:53.832Z","cat"
"Ernestine","2015-07-30T07:54:40.948Z","dog"
"Joyce","2009-02-28T04:03:14.251Z","dog"
"Bell","2006-03-21T08:12:54.936Z","cat"
"Cain","2003-06-21T03:14:12.708Z","dog"
"Flossie","2003-06-25T00:07:27.721Z","dog"
"Garrison","2004-08-22T01:49:47.828Z","cat"
"Guthrie","2010-03-07T19:35:47.670Z","bird"
"Liza","2013-09-26T19:28:16.271Z"," dog"
"Rios","2012-03-05T13:42:43.408Z","bird "
"Sheryl","2008-12-10T11:20:55.015Z","dog"
"Frederick","2004-08-17T01:34:31.917Z","bird "
"Angela","2002-03-19T20:07:56.456Z"," dog"
"Knowles","2010-07-17T19:05:31.588Z","dog"
"Rowena","2007-01-20T09:52:40.464Z","dog"
"Riggs","2017-05-29T08:57:21.093Z","dog"
"Carrillo","2011-08-21T06:18:15.604Z","dog"
"Melva","2008-10-05T07:56:35.823Z","dog"
"Tamera","2002-08-22T23:16:07.053Z","bird"
"Mariana","2003-08-11T03:07:43.414Z","cat"
"Ofelia","2000-04-20T01:30:18.514Z","dog"
"Alford","2005-01-07T17:41:13.739Z","cat"
"Tammie","2015-10-16T00:56:34.705Z","bird "
"Angie","2002-01-07T09:44:18.375Z","bird "
"Bonner","2017-01-16T14:05:45.912Z","bird"
"Esperanza","2005-03-28T04:49:56.050Z","bird"
"Lea","2018-11-10T21:29:05.854Z","dog"
"Connie","2009-02-11T04:00:58.962Z","dog"
"Mueller","2017-03-02T17:49:10.621Z","dog"
"Bird","2002-12-04T05:38:51.459Z","dog"
"Anthony","2005-02-17T10:30:06.693Z","dog"
"Valeria","2007-10-08T22:57:08.306Z","bird"
"Reilly","2008-04-29T17:38:32.354Z","cat"
"Blankenship","2002-09-25T09:42:08.888Z"," dog"
"Dorothea","2016-03-12T12:27:57.225Z","dog"
"Bernice","2008-02-04T17:26:16.846Z","bird"
"Petra","2009-06-15T18:52:54.723Z","bird"
"Duncan","2001-06-13T09:25:38.589Z","dog"
"Darcy","2007-05-27T15:32:49.646Z","bird"
"Sheppard","2000-09-17T03:23:44.398Z","cat"
"Little","2012-12-20T18:14:34.638Z"," dog"
"Erica","2001-01-08T23:53:30.832Z","cat"
"Cheri","2004-11-25T22:27:34.058Z","bird"
"Olivia","2010-07-01T13:04:02.308Z","bird"
"Beverley","2006-08-22T10:21:47.334Z","cat"
"Hayes","2000-04-04T19:03:53.103Z","dog"
"Noelle","2017-08-05T11:34:03.645Z","cat"
"Shepard","2007-01-12T18:04:00.362Z","dog"
"Perez","2011-05-15T10:29:06.528Z","cat"
"Evans","2003-12-26T06:30:00.305Z","bird"
"Andrea","2012-02-13T06:03:57.366Z","bird"
"Everett","2016-05-23T14:33:03.003Z","cat"
"Verna","2004-03-09T06:27:24.749Z","cat"
"Slater","2014-04-16T01:06:26.399Z","bird"
"Carr","2004-08-23T12:27:49.881Z","dog"
"Arline","2019-02-13T05:09:30.552Z","bird"
"Cooley","2015-03-24T08:16:45.034Z","cat"
"Amy","2014-12-12T11:37:09.044Z","dog"
"Mccarthy","2019-08-09T10:26:49.658Z","bird "
"Lyons","2001-09-01T00:33:34.313Z","cat"
